mandt,lifnr,land1,name1,name2,name3,name4,ort01,ort02,pfach,pstl2,pstlz,regio,sortl,stras,adrnr,mcod1,mcod2,mcod3,anred,bahns,bbbnr,bbsnr,begru,brsch,bubkz,datlt,dtams,dtaws,erdat,ernam,esrnr,konzs,ktokk,kunnr,lnrza,loevm,sperr,sperm,spras,stcd1,stcd2,stkza,stkzu,telbx,telf1,telf2,telfx,teltx,telx1,xcpdk,xzemp,vbund,fiskn,stceg,stkzn,sperq,gbort,gbdat,sexkz,kraus,revdb,qssys,ktock,pfort,werks,ltsna,werkr,plkal,duefl,txjcd,sperz,scacd,sfrgr,lzone,xlfza,dlgrp,fityp,stcdt,regss,actss,stcd3,stcd4,stcd5,stcd6,ipisp,taxbs,profs,stgdl,emnfr,lfurl,j_1kfrepre,j_1kftbus,j_1kftind,confs,updat,uptim,nodel,qssysdat,podkzb,fisku,stenr,carrier_conf,min_comp,term_li,crc_num,cvp_xblck,rg,exp,uf,rgdate,ric,rne,rnedate,cnae,legalnat,crtn,icmstaxpay,indtyp,tdt,comsize,decregpc,j_sc_capital,j_sc_currency,alc,pmt_office,ppa_relevant,sam_ue_id,sam_eft_ind,psofg,psois,pson1,pson2,pson3,psovn,psotl,psohs,psost,transport_chain,staging_time,scheduling_type,submi_relevant,operation_flag,is_deleted,recordstamp
800,S102,US,International Software Consulting,,,,TAMPA,HILLSBOROUGH,,,33694,FL,ISP-CONS,300/200 300/200 NW Sammamish Road,0000009954,INTERNATIONAL SOFTWARE CO,,TAMPA,Company,,0000000,00000,,,0,,,,1999-11-04,GRAUENHORST,,,VEND,,,,,,E,,,,,,813-917-4567,,813-917-7123,,,,,,,,,,,,,,,,,,,,,,X,1005715701,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,SMI-SUP-A,US,SMI Supplier A,,,,WICHITA,SEDGWICK,,,67214,KS,SMI SUPPLI,100 Ohio Street,0000047992,SMI SUPPLIER A,,WICHITA,Company,,0000000,00000,,,0,,,,2004-10-28,HARMANK,,,ZICH,,,,,,E,,,,,,316-522-4983,316-524,-2732,,,,,,,,,,,,,,,,,,,,,,X,1717308601,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,A,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,IS_VEND3,CN,Shanghai International Port Group,,,,Luchaogang Town,Nanhui District,,,201308,020,TM6 IS,1 Tonghui Road,0000066520,SHANGHAI INTERNATIONAL PO,,LUCHAOGANG TOWN,,,0000000,00000,,TRAN,0,,,,2008-11-07,I813408,,,TM1,,,,,,E,,,,,,86-21-68288888,,86-21-68289800,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000070001,CA,Metro Chrysler Dodge Jeep,,,,Ottawa,,,,K2B 6R1,ON,CHRYSLER,1047 Richmond Road,0000037775,METRO CHRYSLER DODGE JEEP,,OTTAWA,Company,,0000000,00000,,,0,,,,2002-10-15,REID,,,0001,,,,,,E,,,,,,613-596-1006,,613-596-1094,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000000100,DE,C.E.B. BERLIN,,,,Berlin,,,,12001,11,ALLGEMEIN,Kolping Str. 15,0000006951,C.E.B. BERLIN,,BERLIN,Company,,0000000,00000,,MBAU,0,,,,1995-08-11,WEIS,,,0001,,,,,,D,,,,,,06894/55501-0,,06894/55501-100,,,,,,,DE456145834,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001000,DE,C.E.B. BERLIN,,,,Berlin,,,,12001,11,ALLGEMEIN,Kolping Str. 15,0000006951,C.E.B. BERLIN,,BERLIN,Company,,0000000,00000,,TRAD,0,,,,1994-11-07,KEHNE,,,0001,0000001000,,,,,E,,,,,,06894/55501-0,,06894/55501-100,,,,X,,,DE322156687,,,,,,210010661,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000014500,IN,Central Bureau of Narcotics,,,,Gwalior,,,,474006,MA,GTS,19 The Mall Morar,0000044129,CENTRAL BUREAU OF NARCOTI,,GWALIOR,,,0000000,00000,,PHAR,0,,,,2003-08-27,DEVEGT,,,0001,,,,,,E,,,,,,0751-369439,,0751-368577,,,,,,,,,,,,,,,,,,,,,,X,,,,,0000000002,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001102,DE,Top Services GmbH,,,,Kaiserslautern,,,,67000,,SRV,Am Rotenberg 9,0000007142,TOP SERVICES GMBH,,KAISERSLAUTERN,Company,,0000000,00000,,,0,,,,1998-03-06,ECKERS,,,0001,,,,,,D,,,,,,067/49898-0,,5656438,,34567893,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000050999,DE,Spedition Arnolds,,,,Dresden,,,,01259,,SPEDITION,Pirnaische Landstraпe 135,0000006999,SPEDITION ARNOLDS,,DRESDEN,,,0000000,00000,,TRAN,0,,,,1995-08-16,HEINTZ,,,0001,,,,,,D,,,,X,,0351-235978,,0351-233586,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000021900,PT,Lisbon Parts Supply,,,,Lisboa,,,,2122,31,LISBOA,Rua da Fernandez 1°2,0000007129,LISBON PARTS SUPPLY,,LISBOA,,,0000000,00000,,,0,,,,1997-04-04,MORLEY,,,0001,,,,,,P,,,,,,3033223,3033222,3033221,,,,,,,PT123456789,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001001,DE,SKF Kugelmeier KGaA,,,,Schweinfurt,,,,97341,,AUTO/PUMPE,Georg. Schiffer-str. 21,0000006952,SKF KUGELMEIER KGAA,,SCHWEINFURT,Company,,0000000,00000,,TRAD,0,,,,1995-05-19,OBORNY,,,0001,,,,,,D,,,,,,654-555-9876,,654-555-9877,,,,,,,DE345267896,,,,,,210081725,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000004920,AE,Anda El Eid,,,,Abu Dhabi,,,,1200,,ANDA EL EI,Paddington Lane,0000006995,ANDA EL EID,,ABU DHABI,,,0000000,00000,,,0,,,,1994-11-07,SACHSE,,,0001,,,,,,E,,,,,,6067235,,6067299,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003940,ZA,Mitch & Collins,,,,Woodstock,,,,7925,,MITCH & CO,Divisadero Str. 143,0000006991,MITCH & COLLINS,,WOODSTOCK,,,0000000,00000,,,0,,,,1994-11-07,SACHSE,,,0001,,,,,,E,,,,,,448 - 4527,,448 -  4642,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001910,DE,Schumacher AG,,,,Köln,,,,50858,05,TRADE,Münchener Str. 1055,0000006972,SCHUMACHER AG,,KÖLN,Company,,0000000,00000,,TRAD,0,,,,1994-11-07,SACHSE,,,0001,,,,,,D,,,,,,0221 / 43654-36,,0221 / 43654-78,,,,,,,DE664565782,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001100,DE,Phunix GmbH,,,,Frankfurt,,,,60000,06,FI-PHUNIX,Landstrasse 15,0000006968,PHUNIX GMBH,,FRANKFURT,Company,,0000000,00000,,CHEM,0,,,,1994-11-08,SACHSE,,,0001,,,,,,D,,,,,,069 / 768890,,069 / 768888,,,,,,,DE123469789,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001920,DE,Versicherungen ABC,,,,Frankfurt,,,,60203,06,FI-VERSICH,Untere Waldstrasse 134,0000006973,VERSICHERUNGEN ABC,,FRANKFURT,,,0000000,00000,,,0,,,,1994-11-07,SACHSE,,,0001,,,,,,D,,,,,,069 / 9302-7,,069 / 9302-1,,,,,,,DE654871564,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000002910,GB,Insurance Perfect Ltd.,,,,"Bathgate, West Lothian, EH48 2EH",,,,TW0117,,INSURANCE,Easter Inch,0000006983,INSURANCE PERFECT LTD.,,"BATHGATE, WEST LOTHIAN, E",,,0000000,00000,,,0,,,,1994-11-07,SACHSE,,,0001,,,,,,E,,,,,,031 / 4699966,,031 / 4691220,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000002920,GB,Tax Office,,,,London TW45 3EY,,,,TW148HA,,TAXOFFICE,Status Park 4,0000006984,TAX OFFICE,,LONDON TW45 3EY,,,0000000,00000,,,0,,,,1994-11-07,SACHSE,,,0001,,,,,,E,,,,,,081 / 384 1054,,081 / 384 1099,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000022211,DE,PULSA,,,,Nörten-Hardenberg,,,,37176,,EUBICON,Sibeliusstrasse 132,0000065516,PULSA,,NÖRTEN-HARDENBERG,Firma,,0000000,00000,,TRAD,0,,,,2008-05-21,GONSIOR,,,0001,,,,,,D,,,,,,05503-32786,,05503-32786,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003760,DE,Flavia,,,,Berlin,,,,47111,,FLAVIA,Mozartstrasse 123,0000050592,FLAVIA,,BERLIN,Company,,0000000,00000,,TRAD,0,,,,2005-08-15,GONSIOR,,,0001,,,,,,D,,,,,,555-754-1756,,555-754-7564,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003761,DE,Hi-Way Hi-Fi,,,,München,,,,47112,,HIWAY,Beethovenstrasse 456,0000050593,HI-WAY HI-FI,,MÜNCHEN,Company,,0000000,00000,,TRAD,0,,,,2005-08-15,GONSIOR,,,0001,,,,,,D,,,,,,555-768-4655,,555-768-1237,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003762,DE,Lyreco,,,,Hamburg,,,,47113,,LYRECO,Haydnstrasse 789,0000050594,LYRECO,,HAMBURG,Company,,0000000,00000,,TRAD,0,,,,2005-08-15,GONSIOR,,,0001,,,,,,D,,,,,,555-348-4567,,555-348-4687,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000055500,DE,Conrad Elektronik,,,,Mettingen,,,,49497,,EUBICON,Bergstrasse 16,0000065519,CONRAD ELEKTRONIK,,METTINGEN,Firma,,0000000,00000,,TRAD,0,,,,2008-05-21,GONSIOR,,,0001,,,,,,D,,,,,,05452-25873,,05452-25873,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000033183,DE,Ahrend,,,,Rodenbach,,,,63517,,EUBICON,Im Westerwald 765,0000065520,AHREND,,RODENBACH,Firma,,0000000,00000,,TRAD,0,,,,2008-05-21,GONSIOR,,,0001,,,,,,D,,,,,,06151-954322,,06151-954322,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000011100,DE,Udo Bär,,,,Kaiserslautern,,,,67655,,EUBICON,Königsstrasse 23,0000065515,UDO BÄR,,KAISERSLAUTERN,Firma,,0000000,00000,,TRAD,0,,,,2008-05-21,GONSIOR,,,0001,,,,,,D,,,,,,0631-45644,,0631-45644,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000033300,DE,Kroschke International GmbH,,,,Gammertingen,,,,72501,,EUBICON,Mozartallee 17,0000065517,KROSCHKE INTERNATIONAL GM,,GAMMERTINGEN,Firma,,0000000,00000,,TRAD,0,,,,2008-05-21,GONSIOR,,,0001,,,,,,D,,,,,,07574-2753822,,07574-2753822,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000044400,DE,Farnell,,,,Hagelstadt,,,,93095,,EUBICON,Am grünen Hang 46,0000065518,FARNELL,,HAGELSTADT,Firma,,0000000,00000,,TRAD,0,,,,2008-05-21,GONSIOR,,,0001,,,,,,D,,,,,,0941-1287255,,0941-1287255,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000008502,NZ,Corporate Consumables Ltd,,,,Auckland,,112 089,,,,NZCORP,5 Fisher Crescent,0000050745,CORPORATE CONSUMABLES LTD,,AUCKLAND,,,0000000,00000,,HITE,0,,,,2005-09-16,I000451,,,0001,0000008502,,,,,E,,,,,,09 527 3-666,,09 527 2-177,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000008500,AU,Supplies Group Pty Ltd,,,,North Sydney,,,,2060,NSW,AUSUPP,23 Miller Street,0000050692,SUPPLIES GROUP PTY LTD,,NORTH SYDNEY,,,0000000,00000,,HITE,0,,,,2005-09-08,I000451,,,0001,0000008500,,,,,E,,,,,,02 9935 3-800,,02 9935 3-999,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001948,AU,Dave Bell Enterprises Pty Ltd,,,,Newport,,,,2107,NSW,AUBELL,2 Ocean Street,0000050670,DAVE BELL ENTERPRISES PTY,,NEWPORT,,,0000000,00000,,HITE,0,,,,2005-09-05,I000451,,,0001,0000001948,,,,,E,,,,,,02 9918 9-736,,02 9918 9-599,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000008501,AU,National Parts Group Pty Ltd,,,,Melbourne,,,,3000,VIC,AUPART,12 Collins Street,0000050693,NATIONAL PARTS GROUP PTY,,MELBOURNE,,,0000000,00000,,HITE,0,,,,2005-09-08,I000451,,,0001,0000008501,,,,,E,,,,,,03 9347 2-000,,03 9347 2-999,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000019902,NL,Ajax Gourmet Ltd.,,,,Amsterdam,,,,1101 AX,,GTS_IMP,ArenA Boulevard 1 1,0000065850,AJAX GOURMET LTD.,,AMSTERDAM,Company,,0000000,00000,,0001,0,,,,2008-07-22,I807478,,,0001,,,,,,E,,,,,,31 20 3111313,,31 20 3111310,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000001099,GB,Studio Chapultepec,,,,,,,,,,CD,,0000007102,STUDIO CHAPULTEPEC,,,Company,,0000000,00000,,,0,,,,1996-11-27,FABARIUS,,,0001,,,,,,E,,,,,,081 / 384 1077,,081 / 384 1078,,,,,,,,,,,,,213650661,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000002009,GB,Elco Automotive Ltd.,,,,Middlesex UB3 5EY,,,,TE32235,,AM,"14, Park Avenue",0000007101,ELCO AUTOMOTIVE LTD.,,MIDDLESEX UB3 5EY,,,0000000,00000,,,0,,,,1996-11-27,FABARIUS,,,0001,,,,,,E,,,,,,081 / 384 1054,,081 / 384 1099,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
800,0000003412,GB,AP Steel,,,,Birmingham,,,,11111,WA,STEEL,London Rd.,0000009637,AP STEEL,,BIRMINGHAM,Company,,0000000,00000,,0002,0,,,,1999-08-04,KUERSTEN,,,0001,,,,,,E,,,,,,441723784041,,441723784041,,,,,,,GB-11111414,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00000000000,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2021-03-31 02:47:30.036270+00:00
